,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
40,,"Delhi, India",35.91,62.99,58.75,62.50,38.79,11.25,42.86,115.71,-
41,,"Sofia, Bulgaria",30.03,37.21,51.56,58.15,56.14,10.47,26.33,94.58,-
42,,"Thessaloniki, Greece",26.77,39.04,50.52,53.97,105.78,11.24,22.50,87.25,-
43,,"Bogota, Colombia",22.54,24.72,62.50,87.50,71.19,16.68,48.75,85.83,-
44,,"Milan, Italy",13.59,71.07,46.82,68.90,104.30,16.28,37.25,120.00,-
45,,"Mumbai, India",8.41,56.67,65.46,60.28,38.00,14.13,63.25,125.00,-
46,,"Sao Paulo, Brazil",7.01,46.67,38.44,55.83,98.91,12.19,31.50,101.49,-
47,,"Belgrade, Serbia",5.63,32.04,68.62,47.62,60.00,24.48,26.00,92.74,-
48,,"Santiago, Chile",5.54,44.88,46.35,63.89,72.81,12.47,50.60,106.25,-
49,,"Buenos Aires, Argentina",5.03,38.77,50.17,76.74,73.66,15.25,52.00,103.50,-
50,,"Rio de Janeiro, Brazil",3.71,43.93,32.92,77.08,90.66,21.71,24.67,94.58,-
51,,"Bangkok, Thailand",-6.17,30.29,55.47,92.59,58.87,34.10,38.75,90.00,-
52,,"Mexico City, Mexico",-15.08,48.64,20.94,68.47,58.57,11.85,30.50,128.00,-
53,,"Bucharest, Romania",-17.36,36.31,71.88,55.37,53.98,15.75,34.50,140.71,-
54,,"Rome, Italy",-21.48,56.24,33.87,61.39,103.78,28.38,36.67,102.96,-
55,,"Athens, Greece",-35.53,45.38,39.87,51.69,101.53,11.01,38.67,140.00,-
56,,"Cairo, Egypt",-35.66,18.35,61.33,70.83,52.69,15.51,58.75,129.50,-
57,,"Tehran, Iran",-50.44,47.52,43.27,43.40,60.86,13.72,73.50,140.75,-
58,,"Moscow, Russia",-54.72,46.75,47.33,37.75,86.77,28.06,61.50,116.61,-
59,,"Kolkata, India",-74.08,49.55,27.97,19.72,32.96,15.13,74.25,145.50,-
60,,"Shanghai, China",-76.15,40.91,56.25,34.72,58.29,37.05,31.20,140.25,-
