,Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
53,,"Cluj-Napoca, Romania",166.61,70.28,78.63,62.27,34.68,11.05,32.75,33.23,61.57
54,,"Timisoara, Romania",166.14,67.50,76.80,58.79,33.16,10.68,16.88,51.93,75.20
55,,"Tokyo, Japan",165.99,113.50,79.70,77.73,85.09,25.97,48.52,34.86,80.29
56,,"San Francisco, CA, United States",164.41,105.83,52.10,72.60,103.36,13.70,35.12,44.21,96.78
57,,"Prague, Czech Republic",163.95,90.61,68.95,71.67,43.10,12.78,37.53,42.09,65.56
58,,"Regina, Canada",163.19,148.44,54.53,63.29,67.17,3.74,30.56,35.85,15.16
59,,"Winnipeg, Canada",163.15,133.14,48.52,71.01,63.64,4.38,29.38,36.66,26.94
60,,"Oslo, Norway",162.79,126.32,61.97,70.02,95.98,9.43,38.83,25.11,36.09
61,,"Izmir, Turkey",162.47,66.68,69.25,84.03,43.47,6.52,37.71,65.47,90.56
62,,"Taipei, Taiwan",162.06,126.06,80.25,86.29,56.67,26.02,26.42,43.37,32.93
63,,"Dublin, Ireland",160.23,120.17,45.59,48.18,80.34,9.86,35.73,32.70,71.38
64,,"Zagreb, Croatia",159.94,70.89,68.53,63.75,48.97,12.26,33.70,37.61,71.58
65,,"Abu Dhabi, United Arab Emirates",159.21,158.23,83.29,56.71,61.47,5.07,28.90,55.15,0.35
66,,"Barcelona, Spain",158.99,111.05,58.21,70.75,62.86,9.84,35.55,70.97,89.34
67,,"Los Angeles, CA, United States",157.81,127.13,45.76,65.37,77.78,9.02,36.73,70.79,96.14
68,,"Manchester, United Kingdom",157.22,99.03,47.59,73.23,84.80,7.64,38.82,43.56,75.16
69,,"Bratislava, Slovakia",156.11,72.02,65.97,62.04,49.76,12.50,28.10,44.17,70.89
70,,"Chicago, IL, United States",155.91,127.65,32.75,63.79,85.14,4.27,40.17,39.28,61.04
71,,"Philadelphia, PA, United States",155.80,108.23,35.67,66.82,83.57,4.89,28.29,51.60,76.18
72,,"Novi Sad, Serbia",154.46,56.05,50.06,49.54,33.24,13.08,18.67,38.74,84.16
73,,"Warsaw, Poland",153.06,85.41,73.67,61.57,40.75,12.37,36.60,53.16,63.39
74,,"Banja Luka, Bosnia And Herzegovina",152.36,60.43,69.38,50.14,34.59,12.14,24.40,51.41,77.96
75,,"Brussels, Belgium",152.10,114.79,45.46,76.47,79.07,7.50,31.00,70.47,77.32
76,,"Tel Aviv-Yafo, Israel",151.55,92.22,68.57,76.41,81.06,18.90,42.33,51.53,80.90
77,,"Houston, TX, United States",149.92,138.45,40.66,66.76,75.19,3.28,38.00,69.72,62.62
78,,"Miami, FL, United States",149.87,132.10,39.30,60.19,79.98,5.95,45.50,39.13,48.19
79,,"Durban, South Africa",148.94,119.96,20.10,43.22,33.35,3.00,38.70,53.61,76.76
80,,"Johannesburg, South Africa",148.52,130.00,16.64,60.30,37.58,2.97,44.82,73.68,92.20
81,,"Dubai, United Arab Emirates",143.82,129.65,77.16,59.69,70.12,5.57,32.68,58.11,8.36
82,,"Brasilia, Brazil",143.23,68.33,34.74,41.41,40.69,14.75,30.82,32.66,84.08
83,,"Wroclaw, Poland",141.97,80.07,65.89,56.67,38.76,10.16,44.71,56.57,64.61
84,,"Vilnius, Lithuania",141.38,62.20,62.03,69.22,46.75,13.16,29.89,25.44,24.42
85,,"Paris, France",141.15,112.52,45.93,74.80,81.61,17.99,37.00,64.75,78.46
86,,"Turin, Italy",140.48,99.57,40.46,68.55,68.12,12.32,27.70,78.78,90.63
87,,"Krakow (Cracow), Poland",139.68,81.00,64.34,65.72,38.51,12.28,31.70,69.72,62.25
88,,"Curitiba, Brazil",139.46,48.79,34.84,49.34,38.34,14.15,35.38,37.44,94.51
89,,"Hyderabad, India",138.10,94.58,57.31,73.45,24.06,6.73,42.45,83.71,61.61
90,,"Milan, Italy",138.06,93.29,50.18,74.92,73.85,16.96,39.22,63.08,78.15
91,,"Bangalore, India",138.04,113.87,50.00,58.41,25.90,8.19,48.92,83.51,75.24
92,,"Athens, Greece",138.01,64.66,51.33,52.70,56.00,9.69,35.46,62.74,91.69
93,,"Sofia, Bulgaria",137.56,65.96,50.85,53.14,37.60,8.87,31.44,58.33,70.99
94,,"Ankara, Turkey",137.17,81.87,53.82,66.91,44.02,6.22,38.20,66.51,58.41
95,,"Budapest, Hungary",136.90,60.56,58.88,51.85,42.55,10.10,34.44,52.69,66.89
96,,"Pune, India",135.89,109.11,53.36,68.89,26.55,10.18,49.45,81.50,65.11
97,,"Doha, Qatar",135.69,144.01,77.18,70.16,70.00,7.23,33.56,82.77,9.26
98,,"Santiago, Chile",135.25,68.85,53.14,62.31,46.09,9.47,35.00,78.10,88.93
99,,"Buenos Aires, Argentina",132.74,73.78,37.80,76.38,67.84,12.76,46.50,63.74,91.70
100,,"Sarajevo, Bosnia And Herzegovina",131.80,58.85,49.05,63.10,35.97,12.65,23.27,69.53,72.67
101,,"Istanbul, Turkey",130.51,60.18,53.56,71.75,48.68,11.70,59.27,63.81,89.13
102,,"Belgrade, Serbia",129.77,47.59,59.35,57.21,36.55,20.21,31.03,61.29,84.16
103,,"London, United Kingdom",128.01,94.85,51.63,73.79,94.82,33.51,45.86,54.27,92.63
104,,"Tbilisi, Georgia",126.24,30.75,77.80,56.76,29.57,15.74,34.70,74.64,82.21
105,,"Montevideo, Uruguay",124.82,52.04,42.35,65.45,57.04,13.92,52.29,56.71,91.86
106,,"Bucharest, Romania",123.66,59.96,69.74,52.49,37.42,11.51,38.90,72.39,61.02
107,,"Minsk, Belarus",123.28,40.11,75.25,60.04,40.51,22.13,31.08,39.67,35.63
108,,"New York, NY, United States",121.61,100.00,49.11,57.34,100.00,21.60,43.43,61.38,76.72
109,,"Almaty, Kazakhstan",119.87,61.77,50.31,66.36,31.31,13.05,24.33,72.08,46.00
110,,"Rome, Italy",119.69,89.49,44.13,55.25,70.02,20.21,46.43,72.77,91.35
111,,"Amman, Jordan",119.46,50.30,50.74,68.49,55.13,9.46,51.29,77.89,89.26
112,,"Skopje, North Macedonia",113.60,46.04,57.73,64.19,34.78,16.04,44.08,80.59,78.81
113,,"Chisinau, Moldova",110.77,32.11,53.39,52.58,25.93,18.68,35.30,63.22,67.71
114,,"Mexico City, Mexico",109.42,64.78,33.96,64.58,39.16,10.84,47.09,84.42,78.39
115,,"Porto Alegre, Brazil",109.01,59.04,24.01,51.74,41.61,13.94,40.18,65.19,77.02
116,,"Hong Kong, Hong Kong",108.33,102.32,79.15,74.30,81.48,37.57,46.40,67.17,39.90
117,,"Beirut, Lebanon",105.98,65.42,48.85,71.94,66.37,15.05,39.57,92.99,73.42
118,,"Chennai, India",104.46,100.59,54.93,70.34,24.89,12.40,36.38,76.55,-9.54
119,,"Bogota, Colombia",100.82,41.38,40.66,70.92,32.43,19.98,47.37,74.81,71.21
120,,"Lima, Peru",99.60,53.69,29.92,65.37,41.70,14.20,39.50,88.59,76.72
121,,"Shanghai, China",97.60,83.07,68.18,58.00,60.49,30.23,49.50,86.51,63.66
122,,"Singapore, Singapore",93.09,110.50,84.19,69.06,83.67,23.17,43.43,38.83,-66.63
123,,"Kiev (Kyiv), Ukraine",90.57,33.79,58.56,55.25,29.77,26.48,35.70,77.70,55.51
124,,"Saint Petersburg, Russia",89.94,57.57,55.21,59.84,42.26,15.38,51.95,70.00,23.70
125,,"Tehran, Iran",87.24,47.08,42.87,48.25,44.27,15.57,53.78,87.48,74.61
126,,"Moscow, Russia",84.62,64.53,53.58,55.77,44.33,23.44,56.52,63.54,25.27
127,,"Beijing, China",84.38,85.73,63.42,55.56,51.39,33.45,46.80,89.09,45.36
128,,"Sao Paulo, Brazil",84.00,45.09,24.10,53.41,42.90,20.67,46.19,90.22,90.06
129,,"Cairo, Egypt",82.36,39.61,41.73,46.44,37.73,10.38,53.45,99.10,75.59
130,,"Delhi, India",77.68,85.34,39.72,64.34,28.74,18.21,53.39,94.14,22.75
131,,"Karachi, Pakistan",75.10,50.76,30.30,55.20,28.59,11.10,40.60,88.58,27.47
132,,"Davao, Philippines",72.87,42.08,73.34,71.88,34.59,26.56,28.92,67.19,-33.30
133,,"Colombo, Sri Lanka",71.29,26.95,52.14,79.44,38.12,21.11,52.88,61.62,-2.16
134,,"Kolkata, India",62.87,80.59,51.31,50.51,24.80,10.14,71.47,81.63,-19.93
135,,"Jakarta, Indonesia",59.41,37.46,49.56,58.19,43.92,22.62,48.75,82.88,14.81
136,,"Rio de Janeiro, Brazil",55.88,44.57,22.81,39.01,45.00,24.77,57.35,79.10,52.45
137,,"Mumbai, India",54.62,83.25,49.01,61.51,28.93,35.25,68.84,89.62,14.84
138,,"Bangkok, Thailand",51.49,50.32,54.73,82.25,48.68,22.26,50.73,73.29,-45.35
139,,"Kuala Lumpur, Malaysia",43.23,96.65,26.84,60.05,42.32,9.65,46.35,74.89,-83.32
140,,"Manila, Philippines",41.10,46.51,50.79,63.86,41.46,15.79,60.64,96.08,-19.97
141,,"Dhaka, Bangladesh",29.84,43.19,29.64,37.54,38.64,11.61,63.88,91.12,-10.49
142,,"Ho Chi Minh City, Vietnam",8.92,25.01,41.39,43.94,42.46,31.69,33.23,94.00,-39.79
